filename,class
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Aom(เเนน)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/charge.m4a.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Nine (Ben)/fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Fragile.m4a.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Indulge.m4a.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Jewelry.m4a.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Judge.m4a.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Pang (โบว์)/Vegetable.m4a.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/charge.aac.wav,charge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/fragile.aac.wav,fragile
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/indulge.aac.wav,indulge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/jewelry.aac.wav,jewelry
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/judge.aac.wav,judge
3) -dʒ- - -tʃ-/-dʒ-/AJ.Perry (kanplu)/vegetable.aac.wav,vegetable
3) -dʒ- - -tʃ-/-dʒ-/AJ.Ying/charge.mp3.wav,charge
