1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/eight.m4a.wav,eight
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/eighth.aac.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/hundredth.aac.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/width.aac.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/eighth.mp3.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/hundredth.mp3.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/width.mp3.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Guy (Ping)/eighth.m4a.wav,eighth
