filename,class
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/chicamery.m4a.wav,chicamery
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/AJ.Aom(เเนน)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/AJ.Nine (Ben)/shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/AJ.Pang (โบว์)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/AJ.Pang (โบว์)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/AJ.Pang (โบว์)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/AJ.Pang (โบว์)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/AJ.Pang (โบว์)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/AJ.Perry (kanplu)/flush.aac.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/AJ.Perry (kanplu)/ratio.aac.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/AJ.Perry (kanplu)/shipment.aac.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/bashful.mp3.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/chicanery.mp3.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/distinguish.mp3.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/flush.mp3.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/ratio.mp3.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/securely.mp3.wav,securely
2) -ʒ- - -ʃ-/-ʃ-/AJ.Ying/shipment.mp3.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/Daniel (เเนน)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/N_Aung/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/N_Aung/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/N_Aung/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/N_Aung/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/N_Guy (Ping)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/N_Guy (Ping)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/N_Guy (Ping)/ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/N_Guy (Ping)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/bushful.m4a.wav,bushful
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/radio.m4a.wav,radio
2) -ʒ- - -ʃ-/-ʃ-/N_Maprang/shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/N_Stamp (Ping)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Bashful.m4a.wav,bashful
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Chicanery.m4a.wav,chicanery
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Distinguish.m4a.wav,distinguish
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Flush.m4a.wav,flush
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Ratio.m4a.wav,ratio
2) -ʒ- - -ʃ-/-ʃ-/P_Meen(สมาย)/Shipment.m4a.wav,shipment
2) -ʒ- - -ʃ-/-ʃ-/P_Numaun(smile)/bashful.mp3.wav,bashful
