order,u_id,word,score,predict_word
1,25,altogether,0.592606,theorist
2,25,smooth,0.403801,smooth
3,25,though,0.492821,smooth
4,25,eight,0.394218,theorist
5,25,hundredth,0.391255,though
6,25,width,0.28244,smooth
7,25,bashful,0.728563,flush
8,25,chicanery,0.456592,sabotage
9,25,distinguish,0.365533,jus
10,25,camouflage,0.628957,flush
11,25,jupe,0.686991,flush
12,25,jus,0.754295,flush
13,25,charge,0.267038,jewelry
14,25,fragile,0.330002,jewelry
15,25,indulge,0.43124,charge
16,25,challenge,0.318315,jewelry
17,25,choke,0.33807,charge
18,25,etching,0.253389,charge
19,25,decease,0.418699,zealous
20,25,overseas,0.323022,zealous
21,25,practice,0.423629,zealous
22,25,criticize,0.373228,decease
23,25,emphasize,0.454504,decease
24,25,enzyme,0.656822,zipper
25,25,belonging,0.301741,orbit
26,25,bilingual,0.225004,robe
27,25,dabble,0.29632,robe
28,25,appellate,0.360069,robe
29,25,correspondence,0.536431,robe
30,25,landscape,0.514509,robe
