order,u_id,word,score,predict_word
1,23,altogether,0.219909,smooth
2,23,smooth,0.478679,smooth
3,23,though,0.405918,smooth
4,23,eight,0.39658,though
5,23,hundredth,0.504074,smooth
6,23,width,0.266289,smooth
7,23,bashful,0.497376,flush
8,23,chicanery,0.234967,flush
9,23,distinguish,0.168562,jus
10,23,camouflage,0.238922,shipment
11,23,jupe,0.782698,flush
12,23,jus,0.224869,jus
13,23,charge,0.614771,jewelry
14,23,fragile,0.285451,jewelry
15,23,indulge,0.321196,jewelry
16,23,challenge,0.559426,jewelry
17,23,choke,0.258473,jewelry
18,23,etching,0.264275,jewelry
19,23,decease,0.583446,zealous
20,23,overseas,0.692798,enzyme
21,23,practice,0.312606,enzyme
22,23,criticize,0.385151,enzyme
23,23,emphasize,0.643127,enzyme
24,23,enzyme,0.597508,enzyme
25,23,belonging,0.343377,belonging
26,23,bilingual,0.424519,belonging
27,23,dabble,0.507014,belonging
28,23,appellate,0.339807,belonging
29,23,correspondence,0.623519,belonging
30,23,landscape,0.360786,billingual
