order,u_id,word,score,predict_word
1,24,altogether,0.668608,smooth
2,24,smooth,0.634554,smooth
3,24,though,0.595667,smooth
4,24,eight,0.469758,smooth
5,24,hundredth,0.51756,smooth
6,24,width,0.624872,smooth
7,24,bashful,0.221198,flush
8,24,chicanery,0.206317,jus
9,24,distinguish,0.438787,jus
10,24,camouflage,0.290731,jus
11,24,jupe,0.315537,jus
12,24,jus,0.387435,flush
13,24,charge,0.593119,jewelry
14,24,fragile,0.270922,jewelry
15,24,indulge,0.195333,jewelry
16,24,challenge,0.51489,jewelry
17,24,choke,0.451909,jewelry
18,24,etching,0.557667,jewelry
19,24,decease,0.414897,zealous
20,24,overseas,0.496018,enzyme
21,24,practice,0.346956,enzyme
22,24,criticize,0.731513,enzyme
23,24,emphasize,0.794633,enzyme
24,24,enzyme,0.515732,enzyme
25,24,belonging,0.572356,belonging
26,24,bilingual,0.344855,robe
27,24,dabble,0.263787,robe
28,24,appellate,0.47799,bilingual
29,24,correspondence,0.666834,belonging
30,24,landscape,0.627574,belonging
