order,u_id,word,score,predict_word
1,24,altogether,0.324786,writhe
2,24,smooth,0.714364,smooth
3,24,though,0.577985,smooth
4,24,eight,0.356208,smooth
5,24,hundredth,0.803098,smooth
6,24,width,0.570956,smooth
7,24,bashful,0.731575,flush
8,24,chicanery,0.373037,jus
9,24,distinguish,0.49358,flush
10,24,camouflage,0.406448,shipment
11,24,jupe,0.619995,shipment
12,24,jus,0.650018,flush
13,24,charge,0.323341,charge
14,24,fragile,0.312136,jewelry
15,24,indulge,0.383107,charge
16,24,challenge,0.548164,jewelry
17,24,choke,0.44226,jewelry
18,24,etching,0.249519,charge
19,24,decease,0.336103,zealous
20,24,overseas,0.36508,zealous
21,24,practice,0.492109,zealous
22,24,criticize,0.489186,enzyme
23,24,emphasize,0.800932,enzyme
24,24,enzyme,0.662619,enzyme
25,24,belonging,0.341539,robe
26,24,bilingual,0.597098,belonging
27,24,dabble,0.29973,belonging
28,24,appellate,0.306419,belonging
29,24,correspondence,0.707335,belonging
30,24,landscape,0.373648,robe
