order,u_id,word,score,predict_word
1,21,altogether,0.523557,smooth
2,21,smooth,0.397602,smooth
3,21,though,0.454822,smooth
4,21,eight,0.367602,smooth
5,21,hundredth,0.54968,smooth
6,21,width,0.388003,smooth
7,21,bashful,0.668859,flush
8,21,chicanery,0.426849,flush
9,21,distinguish,0.473801,flush
10,21,camouflage,0.356947,shipment
11,21,jupe,0.699782,flush
12,21,jus,0.398038,flush
13,21,charge,0.315675,charge
14,21,fragile,0.661206,larch
15,21,indulge,0.539004,charge
16,21,challenge,0.367937,larch
17,21,choke,0.627575,larch
18,21,etching,0.323918,charge
19,21,decease,0.565113,zealous
20,21,overseas,0.368762,zealous
21,21,practice,0.309403,zealous
22,21,criticize,0.515782,enzyme
23,21,emphasize,0.684426,enzyme
24,21,enzyme,0.614326,enzyme
25,21,belonging,0.453835,belonging
26,21,bilingual,0.617794,belonging
27,21,dabble,0.287357,appellate
28,21,appellate,0.430779,robe
29,21,correspondence,0.361976,billingual
30,21,landscape,0.237802,dabble
