order,u_id,word,score,predict_word
1,21,altogether,0.489232,smooth
2,21,smooth,0.413594,writhe
3,21,though,0.621855,smooth
4,21,eight,0.533295,smooth
5,21,width,0.561933,smooth
6,21,hundredth,0.531127,smooth
7,21,bashful,0.672791,flush
8,21,chicanery,0.478302,flush
9,21,distinguish,0.511698,flush
10,21,camouflage,0.688712,flush
11,21,jupe,0.709471,flush
12,21,jus,0.523567,flush
13,21,charge,0.341023,jewelry
14,21,fragile,0.330912,charge
15,21,indulge,0.329905,charge
16,21,challenge,0.489809,charge
17,21,choke,0.424078,charge
18,21,etching,0.342613,charge
19,21,decease,0.407946,zealous
20,21,overseas,0.53502,enzyme
21,21,practice,0.269289,process
22,21,criticize,0.544539,enzyme
23,21,emphasize,0.691373,enzyme
24,21,enzyme,0.825978,enzyme
25,21,belonging,0.478013,belonging
26,21,bilingual,0.800064,belonging
27,21,dabble,0.53934,robe
28,21,appellate,0.373496,belonging
29,21,correspondence,0.721881,belonging
30,21,landscape,0.329809,robe
