order,u_id,word,score,predict_word
1,25,altogether,0.148781,theorist
2,25,smooth,0.203217,smooth
3,25,though,0.186671,smooth
4,25,eight,0.257101,though
5,25,hundredth,0.303946,hundredth
6,25,width,0.203698,smooth
7,25,bashful,0.518282,sabotage
8,25,chicanery,0.368648,flush
9,25,distinguish,0.354967,camouflage
10,25,camouflage,0.322228,shipment
11,25,jupe,0.392989,flush
12,25,jus,0.455974,flush
13,25,charge,0.221097,charge
14,25,fragile,0.273362,charge
15,25,indulge,0.41316,charge
16,25,challenge,0.317955,larch
17,25,choke,0.34172,charge
18,25,etching,0.248822,charge
19,25,decease,0.313237,zealous
20,25,overseas,0.586813,enzyme
21,25,practice,0.206249,decease
22,25,criticize,0.35258,decease
23,25,emphasize,0.238641,decease
24,25,enzyme,0.410316,decease
25,25,belonging,0.244061,billingual
26,25,bilingual,0.315156,billingual
27,25,dabble,0.295286,robe
28,25,appellate,0.329484,robe
29,25,correspondence,0.392757,robe
30,25,landscape,0.173648,orbit
