order,u_id,word,score,predict_word
1,22,altogether,0.619105,writhe
2,22,smooth,0.525793,writhe
3,22,though,0.61839,smooth
4,22,eight,0.571586,smooth
5,22,hundredth,0.830948,smooth
6,22,width,0.527429,smooth
7,22,bashful,0.705619,jus
8,22,chicanery,0.634134,jus
9,22,distinguish,0.548154,jus
10,22,camouflage,0.672554,jus
11,22,jupe,0.589235,jus
12,22,jus,0.527064,jus
13,22,charge,0.323807,charge
14,22,fragile,0.263486,jewelry
15,22,indulge,0.430959,charge
16,22,challenge,0.312066,charge
17,22,choke,0.266413,jewelry
18,22,etching,0.360294,charge
19,22,decease,0.667131,zealous
20,22,overseas,0.52898,enzyme
21,22,practice,0.411252,enzyme
22,22,criticize,0.638588,enzyme
23,22,emphasize,0.788036,enzyme
24,22,enzyme,0.660848,enzyme
25,22,belonging,0.960168,belonging
26,22,bilingual,0.886846,belonging
27,22,dabble,0.8645,belonging
28,22,appellate,0.824839,belonging
29,22,correspondence,0.943265,belonging
30,22,landscape,0.948411,belonging
