order,u_id,word,score,predict_word
1,23,altogether,0.83007,smooth
2,23,smooth,0.48616,smooth
3,23,though,0.558192,smooth
4,23,eight,0.613128,smooth
5,23,hundredth,0.660448,smooth
6,23,width,0.195944,eighth
7,23,bashful,0.74638,flush
8,23,chicanery,0.274486,flush
9,23,distinguish,0.298175,flush
10,23,camouflage,0.455356,flush
11,23,jupe,0.751378,flush
12,23,jus,0.377034,flush
13,23,charge,0.32751,jewelry
14,23,fragile,0.425699,jewelry
15,23,indulge,0.341285,jewelry
16,23,challenge,0.463408,jewelry
17,23,choke,0.302255,charge
18,23,etching,0.233714,charge
19,23,decease,0.364534,zealous
20,23,overseas,0.722126,enzyme
21,23,practice,0.384282,process
22,23,criticize,0.28814,zealous
23,23,emphasize,0.573825,enzyme
24,23,enzyme,0.52732,enzyme
25,23,belonging,0.428633,robe
26,23,bilingual,0.752544,belonging
27,23,dabble,0.277974,belonging
28,23,appellate,0.512098,robe
29,23,correspondence,0.366653,billingual
30,23,landscape,0.328367,billingual
